name_ru,name_en,year
"Почтальон, The (почтальон, IL)","Postman, The (Postino, Il)",1994
"Индейцы в шкафу","Indian in the Cupboard, The",1995
Глаз за глаз,Eye for an Eye,1996
Опус мистера Холланда,Mr. Holland's Opus,1995
"Не будьте угрозой для южного центра, выпивая свой сок в капюшоне",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996
"Два, если по морю",Two if by Sea,1996
Био-куплет,Bio-Dome,1996
MANMOWER MAN 2: За пределами киберпространства,Lawnmower Man 2: Beyond Cyberspace,1996
French Twist (Gazon Maudit),French Twist (Gazon maudit),1995
Пятница,Friday,1995
Из сумерки до рассвета,From Dusk Till Dawn,1996
Честная игра,Fair Game,1995
Пинать и кричать,Kicking and Screaming,1995
"Несчастный","Misérables, Les",1995
Кровать роз,Bed of Roses,1996
Большой хулиган,Big Bully,1996
Крики,Screamers,1995
Нико иконка,Nico Icon,1995
"Пересечение охраны","Crossing Guard, The",1995
"Присяжный","Juror, The",1996
"Белый воздушный шар, (Badkonake sefid)","White Balloon, The (Badkonake sefid)",1995
"Чем заняться в Денвере, когда ты мертв",Things to Do in Denver When You're Dead,1995
Линия Антонии (Антония),Antonia's Line (Antonia),1995
Когда -то время ... когда мы были окрашены,Once Upon a Time... When We Were Colored,1995
Ангелы и насекомые,Angels and Insects,1995
Белый шквалл,White Squall,1996
Данстон проверяет,Dunston Checks In,1996
Черная овца,Black Sheep,1996
Проклятый время,Nick of Time,1995
Мэри Рейли,Mary Reilly,1996
Вампир в Бруклине,Vampire in Brooklyn,1995
Красивые девочки,Beautiful Girls,1996
Сломанная стрела,Broken Arrow,1996
В мрачном,In the Bleak Midwinter,1995
"Ненавижу (одежда, к)","Hate (Haine, La)",1995
Хайди Флейс: Голливудская мадам,Heidi Fleiss: Hollywood Madam,1995
ратуша,City Hall,1996
Бутылка ракета,Bottle Rocket,1996
Мистер неправильно,Mr. Wrong,1996
Незабываемый,Unforgettable,1996
Счастливого Гилмора,Happy Gilmore,1996
"Мосты округа Мэдисон","Bridges of Madison County, The",1995
Никто меня не любит (никто меня не любит),Nobody Loves Me (Keiner liebt mich),1994
Остров Muppet Treasure,Muppet Treasure Island,1996
Подиум,Catwalk,1996
Храброе сердце,Braveheart,1995
Водитель такси,Taxi Driver,1976
Грохот в Бронксе (Hont Faan Kui),Rumble in the Bronx (Hont faan kui),1995
До и после,Before and After,1996
Энн Франк вспомнила,Anne Frank Remembered,1995
"Руководство молодого отравителя","Young Poisoner's Handbook, The",1995
Если Люси упала,If Lucy Fell,1996
"Воровать большую, красть маленький","Steal Big, Steal Little",1995
"Мальчики Святого Винсента","Boys of St. Vincent, The",1992
Бумеранг,Boomerang,1992
Чангинг Экспресс (несколько волос),Chungking Express (Chung Hing sam lam),1994
Флирт с катастрофой,Flirting With Disaster,1996
"Бесконечная история III","NeverEnding Story III, The",1994
Жена Юпитера,Jupiter's Wife,1994
Пирог в небе,Pie in the Sky,1996
Джейд,Jade,1995
Вниз по Перископу,Down Periscope,1996
Человек года,Man of the Year,1995
Близко и лично,Up Close and Personal,1996
"Птичья клетки","Birdcage, The",1996
"Братья Макмаллен","Brothers McMullen, The",1995
Плохие парни,Bad Boys,1995
"Удивительное приключение Панды","Amazing Panda Adventure, The",1995
"Баскетбольные дневники","Basketball Diaries, The",1995
"Ужасно большое приключение","Awfully Big Adventure, An",1995
Любитель,Amateur,1994
Аполлон 13,Apollo 13,1995
Роб Рой,Rob Roy,1995
"Зависимость","Addiction, The",1995
Бэтмен навсегда,Batman Forever,1995
Красота дня (Belle de Jour),Beauty of the Day (Belle de jour),1967
За пределами Рангуна,Beyond Rangoon,1995
Синий,Blue in the Face,1995
Канадский бекон,Canadian Bacon,1995
Каспер,Casper,1995
Запасной,Clockers,1995
Конго,Congo,1995
Багровый прилив,Crimson Tide,1995
Крошка,Crumb,1994
Отчаянный,Desperado,1995
Дьявол в синем платье,Devil in a Blue Dress,1995
Умирать,Die Hard: With a Vengeance,1995
"Генерация гибели","Doom Generation, The",1995
Первый рыцарь,First Knight,1995
Бесплатно Вилли 2: Дом приключений,Free Willy 2: The Adventure Home,1995
Хакеры,Hackers,1995
Джеффри,Jeffrey,1995
Джонни Мнемоник,Johnny Mnemonic,1995
Судья Дредд,Judge Dredd,1995
Присяжные обязанности,Jury Duty,1995
Дети,Kids,1995
Жизнь в забвении,Living in Oblivion,1995
Господь иллюзий,Lord of Illusions,1995
Любовь и человеческие останки,Love & Human Remains,1993
Безумной любви,Mad Love,1995
Товары,Mallrats,1995
Могущественные морфиновые мощные рейнджеры: фильм,Mighty Morphin Power Rangers: The Movie,1995
Немой свидетель,Mute Witness,1994
Наджа,Nadja,1994
"Net","Net, The",1995
Девять месяцев,Nine Months,1995
Партийная девушка,Party Girl,1995
"Пророчество","Prophecy, The",1995
Безрассудный,Reckless,1995
Безопасный,Safe,1995
"Алая буква","Scarlet Letter, The",1995
Showgirls,Showgirls,1995
Дымка,Smoke,1995
О чем поговорить,Something to Talk About,1995
Разновидность,Species,1995
Странные дни,Strange Days,1995
"Зонтики Шербурга, (зонтики Шербурга, Лес)","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964
Три желания,Three Wishes,1995
Полное затмение,Total Eclipse,1995
"Вонгу Фу, спасибо за все!Джули Ньюмар","To Wong Foo, Thanks for Everything! Julie Newmar",1995
Под осадой 2: темная территория,Under Siege 2: Dark Territory,1995
Неокрашенные герои,Unstrung Heroes,1995
Распущен,Unzipped,1995
"Ходить по облакам","Walk in the Clouds, A",1995
Водный мир,Waterworld,1995
Бремя белого человека,White Man's Burden,1995
Дикий счет,Wild Bill,1995
"Браунинг версия","Browning Version, The",1994
Буш,Bushwhacked,1995
Бурнт бы тхэ Сун (Утомлённые солнцем),Burnt by the Sun (Utomlyonnye solntsem),1994
Перед дождем (Пенддждо),Before the Rain (Pred dozhdot),1994
Перед рассветом,Before Sunrise,1995
Билли Мэдисон,Billy Madison,1995
"Няня","Babysitter, The",1995
Мальчики на стороне,Boys on the Side,1995
"Лечение","Cure, The",1995
Замок урод,Castle Freak,1995
Круг друзей,Circle of Friends,1995
Клерки,Clerks,1994
Дон Хуан де Марко,Don Juan DeMarco,1995
Раскрытие,Disclosure,1994
Зона сброса,Drop Zone,1994
Судьба включает радио,Destiny Turns on the Radio,1995
Смерть и Дева,Death and the Maiden,1994
Долорес Клэйборн,Dolores Claiborne,1995
Тупой и тупее (тупой и тупее),Dumb & Dumber (Dumb and Dumber),1994
"Ешьте напиток, мужчина, женщина (инь вшей мужской раб)",Eat Drink Man Woman (Yin shi nan nu),1994
Экзотика,Exotica,1994
Выход в Эдем,Exit to Eden,1994
Эд Вуд,Ed Wood,1994
французский поцелуй,French Kiss,1995
Забудь Париж,Forget Paris,1995
Далеко от дома: приключения желтой собаки,Far From Home: The Adventures of Yellow Dog,1995
"Глупый фильм","Goofy Movie, A",1995
Укрытие,Hideaway,1995
Случайно,Fluke,1995
Фаринелли: Кастрато,Farinelli: il castrato,1994
Горди,Gordy,1995
Обруча мечты,Hoop Dreams,1994
Небесные существа,Heavenly Creatures,1994
HouseGuest,Houseguest,1994
Бессмертный любимый,Immortal Beloved,1994
Тяжеловесы (тяжелые веса),Heavyweights (Heavy Weights),1995
"Охотился","Hunted, The",1995
Внесение,I.Q.,1994
Интервью с вампиром: хроники вампира,Interview with the Vampire: The Vampire Chronicles,1994
Джефферсон в Париже,Jefferson in Paris,1995
"Мрачные мальчики","Jerky Boys, The",1995
Младший,Junior,1994
Просто потому что,Just Cause,1995
"Ребенок в суде короля Артура","Kid in King Arthur's Court, A",1995
Поцелуй смерти,Kiss of Death,1995
Звездные войны: Эпизод IV - новая надежда,Star Wars: Episode IV - A New Hope,1977
Маленькая женщина,Little Women,1994
"Маленькая принцесса","Little Princess, A",1995
Божественная коровка,Ladybird Ladybird,1994
Как вода для шоколада (как шоколадная вода),Like Water for Chocolate (Como agua para chocolate),1992
Легенды осени,Legends of the Fall,1994
Майор Пейн,Major Payne,1995
Моя сумасшедшая жизнь (моя сумасшедшая жизнь),My Crazy Life (Mi vida loca),1993
Любовные отношения,Love Affair,1994
Потеряя Исаию,Losing Isaiah,1995
"Безумие короля Джорджа","Madness of King George, The",1994
Франкенштейн Мэри Шелли (Франкенштейн),Mary Shelley's Frankenstein (Frankenstein),1994
Человек из дома,Man of the House,1995
Смесь орехов,Mixed Nuts,1994
Молоковые деньги,Milk Money,1994
Чудо на 34 -й улице,Miracle on 34th Street,1994
Майами Рапсодия,Miami Rhapsody,1995
Моя семья,My Family,1995
Убийство в первом,Murder in the First,1995
Не дурак,Nobody's Fool,1994
Нелл,Nell,1994
Нью -Джерси Драйв,New Jersey Drive,1995
Нью -Йорк Коп (Nyû Yôku no Koppu),New York Cop (Nyû Yôku no koppu),1993
За бедламом,Beyond Bedlam,1993
Нина берет любовника,Nina Takes a Lover,1994
Естественные рожденные убийцы,Natural Born Killers,1994
Только ты,Only You,1994
Однажды были воины,Once Were Warriors,1994
Ядовитый плющ II,Poison Ivy II,1996
Вспышка,Outbreak,1995
Леон: профессионал (a.k.a. Professional) (Леон),Léon: The Professional (a.k.a. The Professional) (Léon),1994
"Семья Перес","Perez Family, The",1995
"История любви Pyromaniac","Pyromaniac's Love Story, A",1995
Криминальное чтиво,Pulp Fiction,1994
"Толкаю руки (ту, я сначала)",Pushing Hands (Tui shou),1992
Священник,Priest,1994
Викторина,Quiz Show,1994
Картинка невеста (фото био),Picture Bride (Bijo photo),1994
"Королева Марго (Рейн Марго, Лос -Анджелес)","Queen Margot (Reine Margot, La)",1994
"Быстро и мертвые","Quick and the Dead, The",1995
Соседи по комнате,Roommates,1995
Готов к ношению (Pret-Aporter),Ready to Wear (Pret-A-Porter),1994
Три цвета: красный (три цвета: красный),Three Colors: Red (Trois couleurs: Rouge),1994
Три цвета: синий (три цвета: синий),Three Colors: Blue (Trois couleurs: Bleu),1993
Три цвета: белый (три цвета: белый),Three Colors: White (Trzy kolory: Bialy),1994
Rent-A-KID,Rent-a-Kid,1995
Относительный страх,Relative Fear,1994
Стюарт спасает свою семью,Stuart Saves His Family,1995
"Лебедя принцесса","Swan Princess, The",1994
"Секрет Роана Иниша","Secret of Roan Inish, The",1994
"Специалист","Specialist, The",1994
Звездный врач,Stargate,1994
"Санта -Клаус","Santa Clause, The",1994
"Shawshank Redemption","Shawshank Redemption, The",1994
Неглубокая могила,Shallow Grave,1994
Шар,Suture,1993
Клубника и шоколад (клубника и шоколад),Strawberry and Chocolate (Fresa y chocolate),1993
Плавание с акулами,Swimming with Sharks,1995
"Сумма нас","Sum of Us, The",1994
Старшая поездка Национального Лампуна,National Lampoon's Senior Trip,1995
Жить (Ху о),To Live (Huozhe),1994
Танк девушка,Tank Girl,1995
Сказки из крипта представлены: Демон Рыцарь,Tales from the Crypt Presents: Demon Knight,1995
Star Trek: поколения,Star Trek: Generations,1994
Сказки из капюшона,Tales from the Hood,1995
Том и ведущий,Tom & Viv,1994
Деревня проклятых,Village of the Damned,1995
Томми мальчик,Tommy Boy,1995
Ванья на 42 -й улице,Vanya on 42nd Street,1994
Под,Underneath,1995
"Ходячие мертвецы","Walking Dead, The",1995
Что гложет Гилберта Грэйпа,What's Eating Gilbert Grape,1993
Виртуозность,Virtuosity,1995
Пока ты спал,While You Were Sleeping,1995
"Война","War, The",1994
Двойное счастье,Double Happiness,1994
Свадьба Мюриэль,Muriel's Wedding,1994
"Клуб детей, клуб","Baby-Sitters Club, The",1995
Ace Ventura: Det Detective,Ace Ventura: Pet Detective,1994
"Приключения Присциллы, королева пустыни","Adventures of Priscilla, Queen of the Desert, The",1994
Backbeat,Backbeat,1993
Горькая луна,Bitter Moon,1992
Пули над Бродвеем,Bullets Over Broadway,1994
Ясная и настоящая опасность,Clear and Present Danger,1994
"Клиент","Client, The",1994
"Коррина, Коррина","Corrina, Corrina",1994
Круклин,Crooklyn,1994
"Ворона","Crow, The",1994
Кобб,Cobb,1994
"Флинстоуны","Flintstones, The",1994
Форрест Гамп,Forrest Gump,1994
Четыре свадьбы и похороны,Four Weddings and a Funeral,1994
Высшее обучение,Higher Learning,1995
Мне это нравится,I Like It Like That,1994
Я люблю неприятности,I Love Trouble,1994
Это может произойти с тобой,It Could Happen to You,1994
"Книга джунглей","Jungle Book, The",1994
"Замечательная, высокая жизнь Лени Рифеншталь, The (Macht der Pictures: Leni Riefenstahl, The)","Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",1993
"Лев Король","Lion King, The",1994
Маленький Будда,Little Buddha,1993
"Новый кошмар Уэса Крэвена (Кошмар на улице Вязов, часть 7: Финал Фредди, а)","Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",1994
"Маска","Mask, The",1994
Маверик,Maverick,1994
Миссис Паркер и порочный круг,Mrs. Parker and the Vicious Circle,1994
Голый пистолет 33 1/3: последнее оскорбление,Naked Gun 33 1/3: The Final Insult,1994
"Бумага","Paper, The",1994
Реальность кусается,Reality Bites,1994
Красный рок Запад,Red Rock West,1992
Ричи Рич,Richie Rich,1994
"Река дикий","River Wild, The",1994
Скорость,Speed,1994
Безмолв,Speechless,1994
Timecop,Timecop,1994
Правдивая ложь,True Lies,1994
Когда мужчина любит женщину,When a Man Loves a Woman,1994
Волк,Wolf,1994
Уайетт Эрп,Wyatt Earp,1994
Плохая компания,Bad Company,1995
"Человек, не имеющий значения","Man of No Importance, A",1994
S.F.W.,S.F.W.,1994
"Низкий грязный стыд","Low Down Dirty Shame, A",1994
Жизнь мальчиков,Boys Life,1995
"Полковник Чаберт","Colonel Chabert, Le",1994
Быстрее Pussycat!Убийство!Убийство!,Faster Pussycat! Kill! Kill!,1965
Лирика Джейсона,Jason's Lyric,1994
уличный боец,Street Fighter,1994
Highlander III: Волшебник (a.k.a. Highlander: последнее измерение),Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),1994
Федеральный холм,Federal Hill,1994
В устье безумия,In the Mouth of Madness,1995
8 секунд,8 Seconds,1994
Над ободом,Above the Rim,1994
Аддамс Семейные ценности,Addams Family Values,1993
"Возраст невинности","Age of Innocence, The",1993
Воздушные головы,Airheads,1994
"Вставать там","Air Up There, The",1994
Еще один разжигание,Another Stakeout,1993
Плохие девушки,Bad Girls,1994
Барселона,Barcelona,1994
Быть человеком,Being Human,1993
"Беверли Хиллбиллис","Beverly Hillbillies, The",1993
Beverly Hills Cop III,Beverly Hills Cop III,1994
Черная красота,Black Beauty,1994
Мигание,Blink,1994
Взорвался,Blown Away,1994
Голубые фишки,Blue Chips,1994
Голубое небо,Blue Sky,1994
Похитители тела,Body Snatchers,1993
Бокс Хелена,Boxing Helena,1993
"Бронкс сказка","Bronx Tale, A",1993
Юнга,Cabin Boy,1994
Календарь девушка,Calendar Girl,1993
Карлито,Carlito's Way,1993
Городские лихчки II: Легенда о золоте Керли,City Slickers II: The Legend of Curly's Gold,1994
С чистого листа,Clean Slate,1994
Cliffhanger,Cliffhanger,1993
Конины,Coneheads,1993
Цвет ночи,Color of Night,1994
Полицейские и грабители,Cops and Robbersons,1994
"Ковбойский путь","Cowboy Way, The",1994
Дэйв,Dave,1993
Ошеломленный и растерянный,Dazed and Confused,1993
Разрушитель,Demolition Man,1993
Даже скотницы получают блюз,Even Cowgirls Get the Blues,1993
Фатальный инстинкт,Fatal Instinct,1993
"Прощай, моя наложница (Ба Ван Би -джи)",Farewell My Concubine (Ba wang bie ji),1993
Бесстрашный,Fearless,1993
Страх перед черной шляпой,Fear of a Black Hat,1994
С отличием,With Honors,1994
Плоть и кость,Flesh and Bone,1993
Вдовы пик,Widows' Peak,1994
За любовь или деньги,For Love or Money,1993
"Твердый","Firm, The",1993
Освободите Вилли,Free Willy,1993
Свежий,Fresh,1994
"Бегство","Fugitive, The",1993
Джеронимо: американская легенда,Geronimo: An American Legend,1993
"Бегство","Getaway, The",1994
Получение даже с отцом,Getting Even with Dad,1994
На рыбалку,Go Fish,1994
Жесткая цель,Hard Target,1993
Горячие выстрелы!Две руки,Hot Shots! Part Deux,1993
Живят обнаженные девушки,Live Nude Girls,1995
"Англичанин, который поднялся на холм, но спустился с горы","Englishman Who Went Up a Hill But Came Down a Mountain, The",1995
"Дом духов","House of the Spirits, The",1993
Домашняя вечеринка 3,House Party 3,1994
"Hudsucker proxy","Hudsucker Proxy, The",1994
Я сделаю все что угодно,I'll Do Anything,1994
Сейчас в армии,In the Army Now,1994
В линии огня,In the Line of Fire,1993
Во имя отца,In the Name of the Father,1993
"Inkwell, The","Inkwell, The",1994
На что способна любовь?,What's Love Got to Do with It?,1993
Джимми Голливуд,Jimmy Hollywood,1994
Суждение ночи,Judgment Night,1993
парк Юрского периода,Jurassic Park,1993
Калифорния,Kalifornia,1993
Убийство Зои,Killing Zoe,1994
Ласси,Lassie,1994
Последний герой боевика,Last Action Hero,1993
Жизнь с Майки,Life with Mikey,1993
Молния Джек,Lightning Jack,1994
М. Бабочка,M. Butterfly,1993
Сделано в Америке,Made in America,1993
Злоба,Malice,1993
"Человек без лица","Man Without a Face, The",1993
Манхэттенскую загадку убийства,Manhattan Murder Mystery,1993
Угроза II Общество,Menace II Society,1993
Исполнительное решение,Executive Decision,1996
В сфере чувств (Ai no Corrida),In the Realm of the Senses (Ai no corrida),1976
"То, что случилось, было ...",What Happened Was...,1994
Много шума из ничего,Much Ado About Nothing,1993
Мистер Чудесный,Mr. Wonderful,1993
Миссис Добробо .fire,Mrs. Doubtfire,1993
Голый,Naked,1993
"Следующий каратэ, ребенок","Next Karate Kid, The",1994
Не убегай,No Escape,1994
Север,North,1994
Орландо,Orlando,1992
"Идеальный мир","Perfect World, A",1993
Филадельфия,Philadelphia,1993
"Пианино","Piano, The",1993
Идеальная справедливость,Poetic Justice,1993
"Программа","Program, The",1993
"Марионеточные мастера","Puppet Masters, The",1994
Радиолан и убийства,Radioland Murders,1994
"Ref","Ref, The",1994
"Остатки дня","Remains of the Day, The",1993
Ренессанс Человек,Renaissance Man,1994
Восходящее солнце,Rising Sun,1993
"Дорога в Велвилл","Road to Wellville, The",1994
Robocop 3,RoboCop 3,1993
Робин Гуд: мужчины в колготках,Robin Hood: Men in Tights,1993
Ромео кровоточит,Romeo Is Bleeding,1993
Румпер Смппер,Romper Stomper,1992
Руби в раю,Ruby in Paradise,1993
Руди,Rudy,1993
"Savage Nights (Nights Fauves, Les)","Savage Nights (Nuits fauves, Les)",1992
Список Шиндлера,Schindler's List,1993
"Разведчик","Scout, The",1994
Поиск Бобби Фишера,Searching for Bobby Fischer,1993
"Секретный сад","Secret Garden, The",1993
Серийная мама,Serial Mom,1994
"Тень","Shadow, The",1994
Страны теневой,Shadowlands,1993
Короткие разрезы,Short Cuts,1993
"Простой поворот судьбы","Simple Twist of Fate, A",1994
Сирены,Sirens,1994
Шесть ступеней расставания,Six Degrees of Separation,1993
Бессонный в Сиэтле,Sleepless in Seattle,1993
Сжимать,Sliver,1993
Blade Runner,Blade Runner,1982
Зять,Son in Law,1993
"Итак, я женился на убийце топора",So I Married an Axe Murderer,1993
Поразительное расстояние,Striking Distance,1993
Super Mario Bros.,Super Mario Bros.,1993
Выживая в игре,Surviving the Game,1994
Предельная скорость,Terminal Velocity,1994
Тридцать два короткометражных фильма о Гленн Гулд,Thirty-Two Short Films About Glenn Gould,1993
Втроем,Threesome,1994
"Кошмар перед Рождеством","Nightmare Before Christmas, The",1993
"Три мушкетера","Three Musketeers, The",1993
Надгробия,Tombstone,1993
Настоящая любовь,True Romance,1993
"Военная комната","War Room, The",1993
"Pagemaster, The","Pagemaster, The",1994
Добро пожаловать в кукольный домик,Welcome to the Dollhouse,1995
Зародыш,Germinal,1993
ЧАЗЕРЫ,Chasers,1994
Галлюцинация,Kika,1993
Бхаджи на пляже,Bhaji on the Beach,1993
Маленькая высшая лига,Little Big League,1994
"Здравствуйте, профессор!(Я надеюсь, что у меня уйдет)","Ciao, Professore! (Io speriamo che me la cavo)",1992
Шлепая обезьяну,Spanking the Monkey,1994
"Маленькие раскалы","Little Rascals, The",1994
Андре,Andre,1994
"Эскорт, (Скорта, Лос -Анджелес)","Escort, The (Scorta, La)",1993
Принцесса Карабу,Princess Caraboo,1994
"Целлулоидный шкаф","Celluloid Closet, The",1995
Дорогой дневник (ежедневно дорогой),Dear Diary (Caro Diario),1994
"Брэди Банч фильм","Brady Bunch Movie, The",1995
Один дома,Home Alone,1990
Призрак,Ghost,1990
Аладдин,Aladdin,1992
Терминатор 2: Судный день,Terminator 2: Judgment Day,1991
Танцы с волками,Dances with Wolves,1990
Бэтмен,Batman,1989
"Молчание ягнят","Silence of the Lambs, The",1991
Белоснежка и семь гномов,Snow White and the Seven Dwarfs,1937
Красавица и чудовище,Beauty and the Beast,1991
Пиноккио,Pinocchio,1940
Хорошенькая женщина,Pretty Woman,1990
"Дикая куча","Wild Bunch, The",1969
Любовь и .45,Love and a .45,1994
"Отличный день в Гарлеме","Great Day in Harlem, A",1994
В один прекрасный день,One Fine Day,1996
Candyman: Прощай с плотью,Candyman: Farewell to the Flesh,1995
Фарго,Fargo,1996
Домашний переход II: потерянный в Сан -Франциско,Homeward Bound II: Lost in San Francisco,1996
Тяжелый металл,Heavy Metal,1981
Hellraiser: родословная,Hellraiser: Bloodline,1996
Носитель,"Pallbearer, The",1996
Джейн Эйр,Jane Eyre,1996
Широкий и шоколад (хлеб и шоколад),Bread and Chocolate (Pane e cioccolata),1973
"Аристокаты","Aristocats, The",1970
"Цветок моего секрета, The (La Flor de Mi Secreto)","Flower of My Secret, The (La flor de mi secreto)",1995
Два много,Two Much,1995
Редакция,Ed,1996
"Тонкая линия между любовью и ненавистью","Thin Line Between Love and Hate, A",1996
"Последняя ужин","Last Supper, The",1995
Первобытный страх,Primal Fear,1996
Все собаки попадают на небеса 2,All Dogs Go to Heaven 2,1996
Земля и свобода (Земля и свобода),Land and Freedom (Tierra y libertad),1995
Дениз вызывает,Denise Calls Up,1995
Теодор Рекс,Theodore Rex,1995
"Семейная вещь","Family Thing, A",1996
Фриз,Frisk,1995
СержантТравяной,Sgt. Bilko,1996
Джек и Сара,Jack and Sarah,1995
Девушка 6,Girl 6,1996
Дьявольский,Diabolique,1996
Нелли и Месье Арно,Nelly & Monsieur Arnaud,1995
Мужество под огнем,Courage Under Fire,1996
Задание невыполнимо,Mission: Impossible,1996
Холодная лихорадка (на холодном люке),Cold Fever (Á köldum klaka),1995
Молл Фландерс,Moll Flanders,1996
Сердце дракона,Dragonheart,1996
Эдди,Eddie,1996
Джеймс и гигантский персик,James and the Giant Peach,1996
Страх,Fear,1996
Дети в зале: мозговая конфеты,Kids in the Hall: Brain Candy,1996
Метро,Underground,1995
Bloodsport 2 (a.k.a. Bloodsport II: следующий кумит),Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite),1996
Песня маленькой дороги (Пэтер Панчали),Song of the Little Road (Pather Panchali),1955
"Мир Аапу, были (Apoor Sansar)","World of Apu, The (Apur Sansar)",1959
Mystery Science Theatre 3000: фильм,Mystery Science Theater 3000: The Movie,1996
Космический джем,Space Jam,1996
Барбарелла,Barbarella,1968
Некоторые люди называют это лезвием,Some Folks Call It a Sling Blade,1993
"Пробег страны","Run of the Country, The",1995
"Альфавиль (Альфавиль, странное приключение Лемми осторожно)","Alphaville (Alphaville, une étrange aventure de Lemmy Caution)",1965
Это моя вечеринка,It's My Party,1996
Операция Dumbo Drop,Operation Dumbo Drop,1995
Миссис Винтерборн,Mrs. Winterbourne,1996
Соло,Solo,1996
"Заменитель","Substitute, The",1996
Настоящее преступление,True Crime,1996
Чувство Миннесоты,Feeling Minnesota,1996
Дельта Венеры,Delta of Venus,1995
Ангус,Angus,1995
Мальчики,Boys,1996
"Квест","Quest, The",1996
Сансет Парк,Sunset Park,1996
Малхолланд Фолс,Mulholland Falls,1996
"Правда о кошках и собаках","Truth About Cats & Dogs, The",1996
Oliver & Company,Oliver & Company,1988
Кельтская гордость,Celtic Pride,1996
Флиппер,Flipper,1996
Мертвец,Dead Man,1995
"Всадник на крыше, (Гуссард на крыше,)","Horseman on the Roof, The (Hussard sur le toit, Le)",1995
"Посетители, (посетители,)","Visitors, The (Visiteurs, Les)",1993
Множественность,Multiplicity,1996
Уоллес и Громит: лучшая из анимации Аардмана,Wallace & Gromit: The Best of Aardman Animation,1996
"Призрачный мир Эдварда Д. Вуда -младшего","Haunted World of Edward D. Wood Jr., The",1996
"Ремесло","Craft, The",1996
"Великая белая шумиха","Great White Hype, The",1996
Последний танец,Last Dance,1996
Холодный комфорт ферма,Cold Comfort Farm,1995
Небесные заключенные,Heaven's Prisoners,1996
"Рок","Rock, The",1996
Человек кладбища (Dellamorte Dellamore),Cemetery Man (Dellamorte Dellamore),1994
Твистер,Twister,1996
колючей проволоки,Barb Wire,1996
Призрак в раковине (Kôkaku Kidôtai),Ghost in the Shell (Kôkaku kidôtai),1995
Тоньше,Thinner,1996
Шпион сильно,Spy Hard,1996
Уоллес и Громит: близкое бритье,Wallace & Gromit: A Close Shave,1995
Глупости,"Stupids, The",1996
"Прибытие","Arrival, The",1996
Доктор Странгелов или: как я научился перестать беспокоиться и любить бомбу,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Пепел времени (Dung Che Sai Duk),Ashes of Time (Dung che sai duk),1994
Майя Лин: сильное ясное видение,Maya Lin: A Strong Clear Vision,1994
Сталинград,Stalingrad,1993
"Призрак","Phantom, The",1996
Стриптиз,Striptease,1996
Тяжелый,Heavy,1995
Джек,Jack,1996
Я застрелил Энди Уорхол,I Shot Andy Warhol,1996
